iter	RMSE
0	27.40948782
1	27.21156877
2	27.08825751
3	26.79152887
4	26.61144232
5	26.47385485
6	26.26113285
7	26.088207
8	25.98179906
9	25.86376744
10	25.73362128
11	25.62590691
12	25.48723862
13	25.32629536
14	25.23960443
15	25.03698479
16	24.90944777
17	24.82150438
18	24.6313531
19	24.59882554
20	24.44826246
21	24.32433878
22	24.20053881
23	24.05952776
24	23.98145561
25	23.78480646
26	23.69103128
27	23.57627791
28	23.31999613
29	23.21538832
30	23.14429776
31	22.95301543
32	22.80301421
33	22.64512507
34	22.4299696
35	22.23140628
36	22.1005793
37	21.97532311
38	21.87483355
39	21.72679656
40	21.60700601
41	21.42261606
42	21.24681048
43	21.08432429
44	20.99250169
45	20.8993698
46	20.8354841
47	20.70746433
48	20.55621201
49	20.48108414
50	20.37190261
51	20.20348805
52	20.07186543
53	19.95577087
54	19.8685144
55	19.79415633
56	19.67177453
57	19.59158424
58	19.43935468
59	19.32530053
60	19.24991117
61	19.11435018
62	18.98288588
63	18.76294649
64	18.65053905
65	18.54828674
66	18.43073615
67	18.30840641
68	18.20297032
69	18.1156095
70	17.97685717
71	17.85785374
72	17.7260582
73	17.61086253
74	17.47587266
75	17.40041025
76	17.34982839
77	17.24973405
78	17.1637011
79	17.04469558
80	16.9515259
81	16.90022904
82	16.80309381
83	16.73840768
84	16.66294528
85	16.56308764
86	16.50087092
87	16.42918982
88	16.25589444
89	16.18417669
90	16.01958133
91	15.9351713
92	15.85393437
93	15.77409874
94	15.65284077
95	15.57830598
96	15.52029083
97	15.39042178
98	15.34231697
99	15.24195829
100	15.04106043
101	14.88170376
102	14.7655128
103	14.63644085
104	14.49707997
105	14.40682354
106	14.25823475
107	14.20420072
108	14.00326065
109	13.93561696
110	13.78726787
111	13.67940822
112	13.5568128
113	13.42577177
114	13.29677672
115	13.16250229
116	13.06470952
117	12.92058644
118	12.8118221
119	12.6947447
120	12.59784582
121	12.42551096
122	12.28013307
123	12.15942992
124	12.03396102
125	11.81003241
126	11.71899661
127	11.66660292
128	11.56531772
129	11.474055
130	11.38554673
131	11.18455034
132	11.11596766
133	11.03906503
134	10.86922711
135	10.79659405
136	10.61270096
137	10.44763146
138	10.28657846
139	10.10261032
140	10.0334433
141	9.956009414
142	9.895270683
143	9.67942491
144	9.612296339
145	9.548018599
146	9.511812225
147	9.376947549
148	9.317430021
149	9.167794736
150	9.011031867
151	8.839192394
152	8.692928843
153	8.557501546
154	8.505569839
155	8.33329205
156	8.174579485
157	8.033978851
158	7.98642132
159	7.855353012
160	7.72316593
161	7.595609892
162	7.444590171
163	7.339707768
164	7.234672261
165	7.124439801
166	7.018590004
167	6.960777572
168	6.833419863
169	6.785665635
170	6.657013808
171	6.609435289
172	6.564539399
173	6.489490948
174	6.44364171
175	6.318736592
176	6.274530646
177	6.236006722
178	6.197033894
179	6.156133854
180	6.127150949
181	6.101381557
182	6.021532062
183	5.985137214
184	5.949358732
185	5.924847661
186	5.889878425
187	5.820803717
188	5.794668735
189	5.674377582
190	5.649228817
191	5.602882568
192	5.567822083
193	5.465471391
194	5.441569634
195	5.418459514
196	5.320810979
197	5.288389524
198	5.265724185
199	5.168390442
