iter	Passed	Remaining
0	48	9736
1	144	14265
2	187	12292
3	209	10265
4	237	9257
5	276	8947
6	382	10542
7	424	10179
8	464	9848
9	845	16068
10	910	15645
11	958	15017
12	1036	14912
13	1329	17662
14	1402	17297
15	1590	18294
16	1640	17658
17	1669	16877
18	1689	16090
19	1701	15313
20	1737	14810
21	1761	14250
22	1780	13701
23	1799	13196
24	1803	12623
25	1819	12178
26	1879	12045
27	2166	13307
28	2185	12885
29	2278	12913
30	2300	12539
31	2413	12669
32	2438	12342
33	2488	12150
34	2549	12018
35	2571	11714
36	2887	12718
37	3068	13082
38	3103	12812
39	3125	12502
40	3136	12164
41	3175	11945
42	3235	11813
43	3276	11617
44	3405	11730
45	3608	12081
46	3631	11822
47	3664	11604
48	3689	11368
49	3704	11114
50	3721	10873
51	3766	10719
52	3788	10507
53	3809	10299
54	3830	10098
55	3861	9929
56	3896	9775
57	4026	9858
58	4053	9688
59	4076	9511
60	4378	9977
61	4442	9887
62	4487	9759
63	4713	10015
64	4735	9834
65	4771	9687
66	4794	9518
67	4888	9489
68	4954	9405
69	4979	9247
70	5058	9191
71	5117	9097
72	5687	9895
73	5746	9784
74	5794	9657
75	5829	9511
76	5900	9424
77	5978	9351
78	6043	9256
79	6114	9172
80	6142	9024
81	6201	8924
82	6234	8788
83	6263	8649
84	6328	8562
85	6426	8519
86	6465	8397
87	6516	8294
88	6570	8195
89	6598	8064
90	6623	7933
91	6660	7818
92	6690	7697
93	6713	7570
94	6735	7444
95	6791	7356
96	6819	7241
97	6843	7123
98	6881	7020
99	6910	6910
100	6968	6830
101	7067	6789
102	7102	6688
103	7133	6584
104	7156	6474
105	7198	6383
106	7383	6417
107	7567	6446
108	7672	6405
109	7707	6306
110	7758	6221
111	8049	6324
112	8092	6230
113	8122	6127
114	8167	6036
115	8192	5932
116	8220	5831
117	8241	5727
118	8297	5647
119	8439	5626
120	8672	5662
121	8713	5571
122	8733	5467
123	8764	5371
124	8803	5282
125	8921	5239
126	8954	5147
127	8991	5057
128	9698	5337
129	9754	5252
130	9843	5184
131	9997	5150
132	10053	5064
133	10138	4993
134	10267	4943
135	10514	4948
136	10548	4850
137	10572	4750
138	10593	4648
139	10615	4549
140	10633	4449
141	10665	4356
142	10688	4260
143	10717	4167
144	10753	4079
145	10780	3987
146	10803	3895
147	10833	3806
148	10853	3715
149	10886	3628
150	10932	3547
151	10965	3462
152	10994	3377
153	11025	3293
154	11045	3206
155	11086	3126
156	11104	3041
157	11135	2960
158	11169	2880
159	11233	2808
160	11295	2736
161	11501	2697
162	11536	2618
163	11570	2539
164	11602	2461
165	11641	2384
166	11657	2303
167	11692	2227
168	11721	2150
169	11783	2079
170	11840	2008
171	11880	1933
172	11914	1859
173	11971	1788
174	12006	1715
175	12047	1642
176	12105	1573
177	12161	1503
178	12194	1430
179	12219	1357
180	12253	1286
181	12290	1215
182	12352	1147
183	12392	1077
184	12420	1007
185	12455	937
186	12498	868
187	12520	799
188	12565	731
189	12596	662
190	12658	596
191	12684	528
192	12721	461
193	12761	394
194	13126	336
195	13156	268
196	13228	201
197	13254	133
198	13290	66
199	13322	0
